X,Y,Z,Speed_kmh
1365.2935,-1733.0385,13.3749,52.9
1378.7509,-1732.4102,13.3760,59.5
1393.8655,-1732.2953,13.3761,64.0
1401.9485,-1732.3409,13.3758,70.3
1410.3367,-1732.3824,13.3758,79.8
1419.0302,-1732.4229,13.3758,75.8
1428.0093,-1732.4658,13.3758,75.3
1437.2828,-1732.5114,13.3758,80.0
1446.8336,-1732.5575,13.3758,78.7
1456.6754,-1732.6051,13.3758,80.2
1467.0155,-1732.6549,13.3758,89.9
1477.2954,-1732.6511,13.3752,98.7
1487.6030,-1732.6293,13.3745,95.8
1497.8937,-1732.6243,13.3744,87.1
1508.3225,-1732.6235,13.3744,87.9
1519.0787,-1732.6218,13.3745,93.4
1529.3809,-1732.6196,13.3744,89.6
1539.6832,-1732.5310,13.3744,86.2
1549.9640,-1732.2745,13.3744,87.3
1560.2667,-1732.0388,13.3744,91.8
1570.5630,-1731.9980,13.3744,90.5
1580.8624,-1731.9924,13.3744,83.9
1591.1703,-1731.9800,13.3744,84.4
1601.4520,-1731.9624,13.3744,91.3
1611.7361,-1731.9464,13.3744,88.4
1622.0361,-1731.9310,13.3744,90.2
1632.3413,-1731.9255,13.3744,91.7
1642.6479,-1731.9938,13.3744,89.9
1652.9347,-1732.0754,13.3744,88.0
1663.2264,-1732.1190,13.3744,102.2
1673.5170,-1732.0784,13.3744,104.6
1683.8147,-1732.0292,13.3847,104.9
1694.1013,-1731.9811,13.3730,94.9
1704.4026,-1731.9370,13.3744,94.8
1714.7118,-1731.8921,13.3744,92.4
1725.0201,-1731.8438,13.3759,101.1
1735.2917,-1731.7954,13.3801,95.3
1744.9209,-1731.7499,13.3766,90.3
1759.1257,-1731.6826,13.3656,66.0
1767.1932,-1731.6443,13.3691,35.3
1779.4907,-1731.5863,13.3744,36.6
1790.3044,-1731.5350,13.3774,51.9
1801.4462,-1731.4854,13.3730,53.4
1811.7418,-1733.8000,13.3697,47.6
1818.9597,-1740.4010,13.3757,44.4
1827.9731,-1748.4808,13.3754,55.9
1839.9257,-1752.7266,13.3719,56.4
1853.6609,-1752.6505,13.3758,56.9
1869.0271,-1752.4257,13.3760,68.2
1877.2141,-1752.3007,13.3758,70.7
1885.7045,-1752.1654,13.3758,69.4
1894.4169,-1752.0156,13.3753,74.6
1902.8374,-1751.6185,13.3730,71.9
1910.9905,-1751.1829,13.3725,68.1
1926.6025,-1750.6904,13.3729,68.6
1941.5836,-1750.3601,13.3724,61.7
1952.5280,-1752.2432,13.3670,47.4
1957.8484,-1758.5956,13.3693,36.9
1958.9788,-1767.1505,13.3751,39.3
1959.4741,-1776.9806,13.3757,46.1
1960.0159,-1788.2365,13.3768,52.5
1960.0847,-1801.1426,13.3762,63.4
1960.0326,-1815.4703,13.3763,67.4
