X,Y,Z,Speed_kmh
1958.2124,-1790.0056,13.3703,86.8
1959.4491,-1804.8457,13.3744,88.0
1959.8278,-1820.1072,13.3752,90.3
1960.2438,-1835.6992,13.3752,92.5
1960.6614,-1851.7557,13.3750,93.7
1960.8722,-1859.7750,13.3749,94.0
1961.0837,-1867.8663,13.3749,94.2
1961.4238,-1884.0111,13.3749,94.7
1961.5302,-1892.3423,13.3749,95.0
1961.6184,-1900.6699,13.3749,95.2
1961.3881,-1917.0084,13.3749,95.7
1961.2651,-1925.0743,13.3749,95.9
1961.0417,-1941.5339,13.3765,96.2
1960.9442,-1949.7213,13.6715,95.5
1960.8456,-1957.9215,13.7457,95.6
1960.7765,-1966.2847,13.5755,96.1
1960.8015,-1974.3279,13.3512,96.7
1960.8353,-1982.8359,13.3734,96.8
1960.8628,-1991.3185,13.3749,97.0
1960.8878,-1999.3763,13.3749,97.1
1960.9148,-2007.6320,13.3749,97.3
1960.9438,-2016.1631,13.3749,97.4
1960.9722,-2024.7356,13.3749,97.5
1961.0000,-2033.2710,13.3749,97.6
1961.0266,-2041.4211,13.3751,97.8
1961.0493,-2050.0120,13.3796,97.9
1961.0712,-2058.2244,13.3795,98.0
1961.0964,-2066.4626,13.3774,96.7
1961.1266,-2074.5513,13.3731,91.0
1961.3401,-2088.9883,13.3725,80.8
1965.8788,-2101.2341,13.3722,70.4
1974.9038,-2106.8623,13.3960,62.4
1985.9147,-2110.5781,13.3567,68.3
1998.2479,-2111.6379,13.3562,73.6
2010.8582,-2111.7463,13.3897,78.0
2024.5038,-2111.0730,13.3677,82.6
2039.1346,-2110.6433,13.3671,87.1
2054.9968,-2110.6152,13.3722,91.6
2070.3552,-2110.7109,13.3559,85.4
2084.6179,-2110.7500,13.3411,79.4
2097.5010,-2108.3625,13.3033,71.3
2107.4709,-2102.0112,13.5151,63.8
2115.5630,-2094.1304,13.5376,64.0
2122.8057,-2086.7971,13.5364,56.5
